title,city_ascii,state_name,ideology,year,city,state_id,lat,lon
Traditionalist Youth Network,Cincinnati,Ohio,White Nationalist,2015,Cincinnati,OH,39.1412,-84.5059
Traditionalist Youth Network,Tucson,Arizona,White Nationalist,2015,Tucson,AZ,32.1546,-110.8782
Trinity White Knights of the KKK,Dry Ridge,Kentucky,Ku Klux Klan,2015,Dry Ridge,KY,38.6837,-84.6006
True Invisible Empire Knights,Elkmont,Alabama,Ku Klux Klan,2015,Elkmont,AL,34.9291,-86.9767
True Light Pentecost Church,Spartanburg,South Carolina,Anti-LGBT,2015,Spartanburg,SC,34.9437,-81.9257
Truth At Last,Marietta,Georgia,General Hate,2015,Marietta,GA,33.9532,-84.5421
United Dixie White Knights of the Ku Klux Klan,Leakesville,Mississippi,Ku Klux Klan,2015,Leakesville,MS,31.1545,-88.558
United Dixie White Knights of the Ku Klux Klan,Jackson,Mississippi,Ku Klux Klan,2015,Jackson,MS,32.3163,-90.2124
United Families International,Gilbert,Arizona,Anti-LGBT,2015,Gilbert,AZ,33.3103,-111.7463
United Klans of America,Ashland,Alabama,Ku Klux Klan,2015,Ashland,AL,33.2704,-85.8337
United Northern and Southern Knights of the KKK,Chicago,Illinois,Ku Klux Klan,2015,Chicago,IL,41.8373,-87.6861
The United West,Lake Worth,Florida,Anti-Muslim,2015,Lake Worth,FL,26.6194,-80.059
United White Knights of the KKK,Atlanta,Texas,Ku Klux Klan,2015,Atlanta,TX,33.1136,-94.1672
United White Knights of the KKK,Austin,Texas,Ku Klux Klan,2015,Austin,TX,30.3006,-97.7517
United White Knights of the KKK,Broken Bow,Oklahoma,Ku Klux Klan,2015,Broken Bow,OK,34.0278,-94.7419
United White Knights of the KKK,Canton,Texas,Ku Klux Klan,2015,Canton,TX,32.554,-95.8639
United White Knights of the KKK,Clarksville,Texas,Ku Klux Klan,2015,Clarksville,TX,33.611,-95.0562
United White Knights of the KKK,Cleveland,Texas,Ku Klux Klan,2015,Cleveland,TX,30.3368,-95.0924
United White Knights of the KKK,Dallas,Texas,Ku Klux Klan,2015,Dallas,TX,32.7937,-96.7662
United White Knights of the KKK,Fort Worth,Texas,Ku Klux Klan,2015,Fort Worth,TX,32.7814,-97.3473
United White Knights of the KKK,Gainesville,Texas,Ku Klux Klan,2015,Gainesville,TX,33.6391,-97.1488
United White Knights of the KKK,Greenville,Texas,Ku Klux Klan,2015,Greenville,TX,33.1116,-96.1098
United White Knights of the KKK,Haworth,Oklahoma,Ku Klux Klan,2015,Haworth,OK,33.8403,-94.6571
United White Knights of the KKK,Hugo,Oklahoma,Ku Klux Klan,2015,Hugo,OK,34.0121,-95.5115
United White Knights of the KKK,Killeen,Texas,Ku Klux Klan,2015,Killeen,TX,31.0754,-97.7293
United White Knights of the KKK,Lake Charles,Louisiana,Ku Klux Klan,2015,Lake Charles,LA,30.203,-93.215
United White Knights of the KKK,Lawton,Oklahoma,Ku Klux Klan,2015,Lawton,OK,34.6171,-98.4204
United White Knights of the KKK,Leesville,Louisiana,Ku Klux Klan,2015,Leesville,LA,31.1394,-93.2743
United White Knights of the KKK,Lufkin,Texas,Ku Klux Klan,2015,Lufkin,TX,31.3217,-94.7277
United White Knights of the KKK,Marshall,Texas,Ku Klux Klan,2015,Marshall,TX,32.537,-94.3515
United White Knights of the KKK,Maud,Texas,Ku Klux Klan,2015,Maud,TX,33.3299,-94.3461
United White Knights of the KKK,Mount Pleasant,Texas,Ku Klux Klan,2015,Mount Pleasant,TX,33.1613,-94.9717
United White Knights of the KKK,New Boston,Texas,Ku Klux Klan,2015,New Boston,TX,33.4607,-94.4177
United White Knights of the KKK,Paris,Texas,Ku Klux Klan,2015,Paris,TX,33.6689,-95.5462
United White Knights of the KKK,Ruston,Louisiana,Ku Klux Klan,2015,Ruston,LA,32.5329,-92.6364
United White Knights of the KKK,Sulphur Springs,Texas,Ku Klux Klan,2015,Sulphur Springs,TX,33.1421,-95.6124
United White Knights of the KKK,Texarkana,Texas,Ku Klux Klan,2015,Texarkana,TX,33.4487,-94.0815
United White Knights of the KKK,Tyler,Texas,Ku Klux Klan,2015,Tyler,TX,32.3184,-95.3065
United White Knights of the KKK,Waco,Texas,Ku Klux Klan,2015,Waco,TX,31.5597,-97.1883
United White Knights of the KKK,Houston,Texas,Ku Klux Klan,2015,Houston,TX,29.7868,-95.3905
United White Knights of the KKK,Longview,Texas,Ku Klux Klan,2015,Longview,TX,32.5192,-94.7622
United White Knights of the KKK,Shreveport,Louisiana,Ku Klux Klan,2015,Shreveport,LA,32.4659,-93.7959
United White Knights of the KKK,West Monroe,Louisiana,Ku Klux Klan,2015,West Monroe,LA,32.512,-92.1514
US Border Guard,Mesa,Arizona,Anti-Immigrant,2015,Mesa,AZ,33.4017,-111.7181
VDARE Foundation,Warrenton,Virginia,White Nationalist,2015,Warrenton,VA,38.7176,-77.7975
Vinlanders Arizona,Tucson,Arizona,Racist Skinhead,2015,Tucson,AZ,32.1546,-110.8782
Vinlanders California,San Diego,California,Racist Skinhead,2015,San Diego,CA,32.8312,-117.1226
Vinlanders Indiana,Knightstown,Indiana,Racist Skinhead,2015,Knightstown,IN,39.796,-85.5311
Vinlanders New Jersey,Cherry Hill,New Jersey,Racist Skinhead,2015,Cherry Hill,NJ,39.9348,-75.0307
Vinlanders New Jersey,Point Pleasant Beach,New Jersey,Racist Skinhead,2015,Point Pleasant Beach,NJ,40.0928,-74.0456
Vinlanders North Carolina,Cameron,North Carolina,Racist Skinhead,2015,Cameron,NC,35.3259,-79.254
Virginia Publishing Company,Lynchburg,Virginia,Christian Identity,2015,Lynchburg,VA,37.4003,-79.1908
War On The Horizon,Washington,District of Columbia,Black Nationalist,2015,Washington,DC,38.9047,-77.0163
Washington Summit Publishers,Whitefish,Montana,White Nationalist,2015,Whitefish,MT,48.4332,-114.3592
Weisman Publications,Apple Valley,Minnesota,Christian Identity,2015,Apple Valley,MN,44.7458,-93.2006
Westboro Baptist Church,Topeka,Kansas,Anti-LGBT,2015,Topeka,KS,39.0346,-95.6956
Western Hammerskins,Menifee,California,Racist Skinhead,2015,Menifee,CA,33.6909,-117.1849
Western Hammerskins,San Diego,California,Racist Skinhead,2015,San Diego,CA,32.8312,-117.1226
What Would Mohammad Do?,Hemet,California,Anti-Muslim,2015,Hemet,CA,33.7341,-116.9969
Whitakeronline,Columbia,South Carolina,White Nationalist,2015,Columbia,SC,34.037,-80.9042
White Aryan Resistance,Warsaw,Indiana,Neo-Nazi,2015,Warsaw,IN,41.2443,-85.8479
White Camelia Knights of the KKK,Cleveland,Texas,Ku Klux Klan,2015,Cleveland,TX,30.3368,-95.0924
White Camelia Knights of the KKK,Pasadena,Texas,Ku Klux Klan,2015,Pasadena,TX,29.6584,-95.1499
The White Church,Pittsburgh,Pennsylvania,Neo-Nazi,2015,Pittsburgh,PA,40.4396,-79.9763
White Pride Home School Resource Center,Bergman,Arkansas,General Hate,2015,Bergman,AR,36.3128,-93.0115
White Rabbit Radio,Dearborn Heights,Michigan,White Nationalist,2015,Dearborn Heights,MI,42.3164,-83.2769
White Trash Rebel,Keller,Texas,White Nationalist,2015,Keller,TX,32.9337,-97.2255
The White Voice,New York,New York,White Nationalist,2015,New York,NY,40.6943,-73.9249
Windsor Hills Baptist Church,Oklahoma City,Oklahoma,Anti-LGBT,2015,Oklahoma City,OK,35.4676,-97.5136
Wolves of Vinland,Lynchburg,Virginia,Neo-Volkisch,2015,Lynchburg,VA,37.4003,-79.1908
World Congress of Families/International Organization for the Family,Rockford,Illinois,Anti-LGBT,2015,Rockford,IL,42.2598,-89.0641
World View Foundations,Porterville,California,White Nationalist,2015,Porterville,CA,36.0644,-119.0337
WTM Enterprises,Roanoke,Indiana,White Nationalist,2015,Roanoke,IN,40.964,-85.3761
a2z Publications,Las Vegas,Nevada,General Hate,2016,Las Vegas,NV,36.2291,-115.2607
Abiding Truth Ministries,Springfield,Massachusetts,Anti-LGBT,2016,Springfield,MA,42.1155,-72.5395
AC Skins,Atlantic City,New Jersey,Racist Skinhead,2016,Atlantic City,NJ,39.3797,-74.4527
ACT for America,Baton Rouge,Louisiana,Anti-Muslim,2016,Baton Rouge,LA,30.4423,-91.1314
ACT for America,Bear,Delaware,Anti-Muslim,2016,Bear,DE,39.6188,-75.6804
ACT for America,Boston,Massachusetts,Anti-Muslim,2016,Boston,MA,42.3188,-71.0846
ACT for America,Cincinnati,Ohio,Anti-Muslim,2016,Cincinnati,OH,39.1412,-84.5059
ACT for America,Cleveland,Ohio,Anti-Muslim,2016,Cleveland,OH,41.4767,-81.6805
ACT for America,Columbus,Ohio,Anti-Muslim,2016,Columbus,OH,39.986,-82.9852
ACT for America,Corona,California,Anti-Muslim,2016,Corona,CA,33.862,-117.5644
ACT for America,Dallas,Texas,Anti-Muslim,2016,Dallas,TX,32.7937,-96.7662
ACT for America,Des Moines,Iowa,Anti-Muslim,2016,Des Moines,IA,41.5725,-93.6104
ACT for America,Des Plaines,Illinois,Anti-Muslim,2016,Des Plaines,IL,42.0344,-87.9008
ACT for America,Detroit,Michigan,Anti-Muslim,2016,Detroit,MI,42.3834,-83.1024
ACT for America,Fayetteville,North Carolina,Anti-Muslim,2016,Fayetteville,NC,35.0846,-78.9776
ACT for America,Grand Rapids,Michigan,Anti-Muslim,2016,Grand Rapids,MI,42.9615,-85.6557
ACT for America,Heathrow,Florida,Anti-Muslim,2016,Heathrow,FL,28.7754,-81.3721
ACT for America,Houston,Texas,Anti-Muslim,2016,Houston,TX,29.7868,-95.3905
ACT for America,Jacksonville,Florida,Anti-Muslim,2016,Jacksonville,FL,30.3322,-81.6749
ACT for America,Jonesboro,Arkansas,Anti-Muslim,2016,Jonesboro,AR,35.8212,-90.6795
ACT for America,Kalispell,Montana,Anti-Muslim,2016,Kalispell,MT,48.2155,-114.3262
ACT for America,Knoxville,Tennessee,Anti-Muslim,2016,Knoxville,TN,35.9692,-83.9495
ACT for America,Leesburg,Virginia,Anti-Muslim,2016,Leesburg,VA,39.1058,-77.5544
ACT for America,Los Angeles,California,Anti-Muslim,2016,Los Angeles,CA,34.1139,-118.4068
ACT for America,Memphis,Tennessee,Anti-Muslim,2016,Memphis,TN,35.1047,-89.9773
ACT for America,Meridian,Idaho,Anti-Muslim,2016,Meridian,ID,43.6113,-116.3972
ACT for America,Minneapolis,Minnesota,Anti-Muslim,2016,Minneapolis,MN,44.9635,-93.2678
ACT for America,Mission Viejo,California,Anti-Muslim,2016,Mission Viejo,CA,33.6095,-117.6551
ACT for America,Nashua,New Hampshire,Anti-Muslim,2016,Nashua,NH,42.7491,-71.491
ACT for America,New York,New York,Anti-Muslim,2016,New York,NY,40.6943,-73.9249
ACT for America,Palm Beach,Florida,Anti-Muslim,2016,Palm Beach,FL,26.6852,-80.0403
ACT for America,Rapid City,South Dakota,Anti-Muslim,2016,Rapid City,SD,44.0716,-103.2205
ACT for America,San Antonio,Texas,Anti-Muslim,2016,San Antonio,TX,29.4722,-98.5247
ACT for America,Spokane Valley,Washington,Anti-Muslim,2016,Spokane Valley,WA,47.6625,-117.2346
ACT for America,Tucson,Arizona,Anti-Muslim,2016,Tucson,AZ,32.1546,-110.8782
ACT for America,Twin Falls,Idaho,Anti-Muslim,2016,Twin Falls,ID,42.5645,-114.4611
ACT for America,Virginia Beach,Virginia,Anti-Muslim,2016,Virginia Beach,VA,36.7335,-76.0435
ACT for America,Whitehall,Montana,Anti-Muslim,2016,Whitehall,MT,45.8709,-112.0975
Active Democracy,Washington,District of Columbia,General Hate,2016,Washington,DC,38.9047,-77.0163
Aggressive Christianity,Berino,New Mexico,General Hate,2016,Berino,NM,32.0689,-106.6219
Aggressive Christianity,Fence Lake,New Mexico,General Hate,2016,Fence Lake,NM,34.669,-108.6801
All Eyes On Egipt Bookstore,Chicago,Illinois,Black Nationalist,2016,Chicago,IL,41.8373,-87.6861
All Eyes on Egipt Bookstore,Cleveland,Ohio,Black Nationalist,2016,Cleveland,OH,41.4767,-81.6805
All Eyes on Egipt Bookstore,Decatur,Georgia,Black Nationalist,2016,Decatur,GA,33.7711,-84.2968
All Eyes on Egipt Bookstore,Detroit,Michigan,Black Nationalist,2016,Detroit,MI,42.3834,-83.1024
All Eyes on Egipt Bookstore,Monticello,Georgia,Black Nationalist,2016,Monticello,GA,33.3076,-83.6861
All Eyes on Egipt Bookstore,Orlando,Florida,Black Nationalist,2016,Orlando,FL,28.4788,-81.342
All Eyes On Egipt Bookstore,Brooklyn,New York,Black Nationalist,2016,Brooklyn,NY,40.6501,-73.9496
All Eyes On Egypt Bookstore,Macon,Georgia,Black Nationalist,2016,Macon,GA,32.8407,-83.6324
Alliance Defending Freedom,Scottsdale,Arizona,Anti-LGBT,2016,Scottsdale,AZ,33.6872,-111.865
Alternative Right,Atlanta,Georgia,White Nationalist,2016,Atlanta,GA,33.7626,-84.4228
Altra Firearms,Jackson Center,Pennsylvania,Anti-Muslim,2016,Jackson Center,PA,41.2731,-80.1397
America First Committee,Lyons,Illinois,Neo-Nazi,2016,Lyons,IL,41.8121,-87.8192
America's Promise Ministries,Sandpoint,Idaho,Christian Identity,2016,Sandpoint,ID,48.2832,-116.5613
American Border Patrol,Sierra Vista,Arizona,Anti-Immigrant,2016,Sierra Vista,AZ,31.563,-110.3153
American Clarion,Rapid City,South Dakota,General Hate,2016,Rapid City,SD,44.0716,-103.2205
American College of Pediatricians,Gainesville,Florida,Anti-LGBT,2016,Gainesville,FL,29.6808,-82.3455
American Constitution Center,Nashville,Tennessee,Anti-Muslim,2016,Nashville,TN,36.1714,-86.7844
American Defense Records,Lexington,Kentucky,Hate Music,2016,Lexington,KY,38.0423,-84.4587
American Eagle Party,Gatlinburg,Tennessee,White Nationalist,2016,Gatlinburg,TN,35.725,-83.4936
American Family Association,Franklin,Pennsylvania,Anti-LGBT,2016,Franklin,PA,41.3936,-79.8425
American Family Association,Tupelo,Mississippi,Anti-LGBT,2016,Tupelo,MS,34.2691,-88.7318
American Free Press,Washington,District of Columbia,General Hate,2016,Washington,DC,38.9047,-77.0163
American Freedom Alliance,Los Angeles,California,Anti-Muslim,2016,Los Angeles,CA,34.1139,-118.4068
American Freedom Defense Initiative,New York,New York,Anti-Muslim,2016,New York,NY,40.6943,-73.9249
American Freedom Law Center,Ann Arbor,Michigan,Anti-Muslim,2016,Ann Arbor,MI,42.2755,-83.7312
American Freedom Party,Granbury,Texas,White Nationalist,2016,Granbury,TX,32.4483,-97.7685
American Freedom Party,Grand Forks,North Dakota,White Nationalist,2016,Grand Forks,ND,47.9223,-97.0887
American Freedom Party,Los Angeles,California,White Nationalist,2016,Los Angeles,CA,34.1139,-118.4068
American Freedom Party,New York,New York,White Nationalist,2016,New York,NY,40.6943,-73.9249
American Immigration Control Foundation/Americans for Immigration Control,Monterey,Virginia,Anti-Immigrant,2016,Monterey,VA,38.4116,-79.5809
American Nazi Party,Westland,Michigan,Neo-Nazi,2016,Westland,MI,42.3192,-83.3805
American Renaissance/New Century Foundation,Oakton,Virginia,White Nationalist,2016,Oakton,VA,38.8887,-77.3017
American Security Rally of Montana,Helena,Montana,Anti-Muslim,2016,Helena,MT,46.5964,-112.0197
American Vanguard,Bremerton,Washington,White Nationalist,2016,Bremerton,WA,47.5436,-122.7122
American Vanguard,Huntington Beach,California,White Nationalist,2016,Huntington Beach,CA,33.696,-118.0025
American Vanguard,Orlando,Florida,White Nationalist,2016,Orlando,FL,28.4788,-81.342
American Vikings,Indianapolis,Indiana,Racist Skinhead,2016,Indianapolis,IN,39.7771,-86.1458
American Vision,Powder Springs,Georgia,Anti-LGBT,2016,Powder Springs,GA,33.866,-84.6838
Americans for Legal Immigration (ALIPAC),Raleigh,North Carolina,Anti-Immigrant,2016,Raleigh,NC,35.8323,-78.6439
Americans for Truth About Homosexuality,Naperville,Illinois,Anti-LGBT,2016,Naperville,IL,41.7483,-88.1657
Aryan Nations,Converse,Louisiana,Neo-Nazi,2016,Converse,LA,31.7795,-93.7001
Aryan Nations Sadistic Souls MC,Grovespring,Missouri,Neo-Nazi,2016,Grovespring,MO,37.3998,-92.6096
Aryan Nations Sadistic Souls MC,Taylorville,Illinois,Neo-Nazi,2016,Taylorville,IL,39.5328,-89.2804
Aryan Nations Sadistic Souls MC,Wood River,Illinois,Neo-Nazi,2016,Wood River,IL,38.8633,-90.0773
Aryan Nations Sadistic Souls MC,Canton,Illinois,Neo-Nazi,2016,Canton,IL,40.5632,-90.0409
Aryan Nations Worldwide,Villa Rica,Georgia,Neo-Nazi,2016,Villa Rica,GA,33.7305,-84.917
Aryan Renaissance Society,New York,New York,Neo-Nazi,2016,New York,NY,40.6943,-73.9249
Aryan Strikeforce,Phillipsburg,New Jersey,Racist Skinhead,2016,Phillipsburg,NJ,40.6895,-75.1821
As-Sabiqun,Los Angeles,California,General Hate,2016,Los Angeles,CA,34.1139,-118.4068
As-Sabiqun,Oakland,California,General Hate,2016,Oakland,CA,37.7903,-122.2165
As-Sabiqun,Philadelphia,Pennsylvania,General Hate,2016,Philadelphia,PA,40.0076,-75.134
As-Sabiqun,Sacramento,California,General Hate,2016,Sacramento,CA,38.5667,-121.4683
As-Sabiqun,San Diego,California,General Hate,2016,San Diego,CA,32.8312,-117.1226
As-Sabiqun,Washington,District of Columbia,General Hate,2016,Washington,DC,38.9047,-77.0163
ATLAH World Missionary Church (All The Land Anointed Holy),New York,New York,Anti-LGBT,2016,New York,NY,40.6943,-73.9249
Atomwaffen Division,San Antonio,Texas,Neo-Nazi,2016,San Antonio,TX,29.4722,-98.5247
Bare Naked Islam,Marina del Rey,California,Anti-Muslim,2016,Marina del Rey,CA,33.9765,-118.4486
"Barnes Review/Foundation for Economic Liberty, Inc.",Upper Marlboro,Maryland,Holocaust Denial,2016,Upper Marlboro,MD,38.8172,-76.7546
Behold Barbarity Records & Distro,Plymouth,Minnesota,Hate Music,2016,Plymouth,MN,45.0224,-93.4615
Black Riders Liberation Party,Chicago,Illinois,Black Nationalist,2016,Chicago,IL,41.8373,-87.6861
Black Riders Liberation Party,Detroit,Michigan,Black Nationalist,2016,Detroit,MI,42.3834,-83.1024
Black Riders Liberation Party,Los Angeles,California,Black Nationalist,2016,Los Angeles,CA,34.1139,-118.4068
Black Riders Liberation Party,Miami,Florida,Black Nationalist,2016,Miami,FL,25.784,-80.2102
Black Riders Liberation Party,New York,New York,Black Nationalist,2016,New York,NY,40.6943,-73.9249
Black Riders Liberation Party,Oakland,California,Black Nationalist,2016,Oakland,CA,37.7903,-122.2165
Black Riders Liberation Party,Portland,Oregon,Black Nationalist,2016,Portland,OR,45.5372,-122.65
Black Riders Liberation Party,San Diego,California,Black Nationalist,2016,San Diego,CA,32.8312,-117.1226
Blood and Honour Social Club,Greensboro,North Carolina,Racist Skinhead,2016,Greensboro,NC,36.0956,-79.8269
Blood and Honour Social Club,New York,New York,Racist Skinhead,2016,New York,NY,40.6943,-73.9249
Bob's Underground Graduate Seminar/BUGS,Columbia,South Carolina,White Nationalist,2016,Columbia,SC,34.037,-80.9042
Bomb Islam,Phoenix,Arizona,Anti-Muslim,2016,Phoenix,AZ,33.5722,-112.0891
Borderkeepers of Alabama,Birmingham,Alabama,Anti-Immigrant,2016,Birmingham,AL,33.5276,-86.7988
Bosch Fawstin,New York,New York,Anti-Muslim,2016,New York,NY,40.6943,-73.9249
The Brother Nathanael Foundation,Frisco,Colorado,General Hate,2016,Frisco,CO,39.5793,-106.0919
Bureau on American Islamic Relations,Irving,Texas,Anti-Muslim,2016,Irving,TX,32.8584,-96.9702
Californians for Population Stabilization,Santa Barbara,California,Anti-Immigrant,2016,Santa Barbara,CA,34.4285,-119.7202
Campaign for Radical Truth in History,Coeur d'Alene,Idaho,Holocaust Denial,2016,Coeur d'Alene,ID,47.7039,-116.7933
The Campus Ministry USA,Terre Haute,Indiana,Anti-LGBT,2016,Terre Haute,IN,39.4654,-87.3763
carolynyeager.net,Kerrville,Texas,Holocaust Denial,2016,Kerrville,TX,30.0399,-99.1319
Catholic Counterpoint,Broomall,Pennsylvania,Radical Traditional Catholicism,2016,Broomall,PA,39.9694,-75.3529
"Catholic Family News/Catholic Family Ministries, Inc.",Niagara Falls,New York,Radical Traditional Catholicism,2016,Niagara Falls,NY,43.0921,-79.0147
Center for Family and Human Rights (C-FAM),New York,New York,Anti-LGBT,2016,New York,NY,40.6943,-73.9249
Center for Family and Human Rights (C-FAM),Washington,District of Columbia,Anti-LGBT,2016,Washington,DC,38.9047,-77.0163
Center for Immigration Studies,Washington,District of Columbia,Anti-Immigrant,2016,Washington,DC,38.9047,-77.0163
Center for Perpetual Diversity,Arlington,Virginia,White Nationalist,2016,Arlington,VA,38.8786,-77.1011
Center for Security Policy,Washington,District of Columbia,Anti-Muslim,2016,Washington,DC,38.9047,-77.0163
Chalcedon Foundation,Vallecito,California,Anti-LGBT,2016,Vallecito,CA,38.074,-120.4563
Chick Publications,Ontario,California,General Hate,2016,Ontario,CA,34.0393,-117.6064
Christian Action Network,Forest,Virginia,Anti-Muslim,2016,Forest,VA,37.3728,-79.2831
Christian American Knights of the Ku Klux Klan,Bushnell,Florida,Ku Klux Klan,2016,Bushnell,FL,28.6859,-82.1159
Christian American Knights of the Ku Klux Klan,Cocoa,Florida,Ku Klux Klan,2016,Cocoa,FL,28.3821,-80.7675
Christian American Knights of the Ku Klux Klan,Hoxie,Arkansas,Ku Klux Klan,2016,Hoxie,AR,36.036,-90.9736
Christian America Ministries,Greensburg,Louisiana,Christian Identity,2016,Greensburg,LA,30.83,-90.6698
Christian Anti-Defamation Commission,Vista,California,General Hate,2016,Vista,CA,33.1895,-117.2387
Christian Revival Center,Harrison,Arkansas,Christian Identity,2016,Harrison,AR,36.2437,-93.1197
Church of Israel,Schell City,Missouri,Christian Identity,2016,Schell City,MO,38.0192,-94.1167
Church of the National Knights of the Ku Klux Klan,Horn Lake,Mississippi,Ku Klux Klan,2016,Horn Lake,MS,34.9512,-90.0501
Church of the National Knights of the Ku Klux Klan,Panama,New York,Ku Klux Klan,2016,Panama,NY,42.0747,-79.485
Citizen Warrior,Nashville,Tennessee,Anti-Muslim,2016,Nashville,TN,36.1714,-86.7844
Citizens for Community Values,Cincinnati,Ohio,Anti-LGBT,2016,Cincinnati,OH,39.1412,-84.5059
Citizens for National Security,Boca Raton,Florida,Anti-Muslim,2016,Boca Raton,FL,26.3749,-80.1077
Clarion Project,Washington,District of Columbia,Anti-Muslim,2016,Washington,DC,38.9047,-77.0163
Colorado Alliance for Immigration Reform,Lakewood,Colorado,Anti-Immigrant,2016,Lakewood,CO,39.6978,-105.1168
Committee for Open Debate on the Holocaust,San Diego,California,Holocaust Denial,2016,San Diego,CA,32.8312,-117.1226
Committee for Open Debate on the Holocaust,York,Pennsylvania,Holocaust Denial,2016,York,PA,39.9651,-76.7315
Committee to End the CSI Refugee Center,Buhl,Idaho,Anti-Muslim,2016,Buhl,ID,42.5985,-114.7596
Concerned Citizens and Friends of Illegal Immigration Law Enforcement,Framingham,Massachusetts,General Hate,2016,Framingham,MA,42.3085,-71.4368
Confederate Hammerskins,Nashville,Tennessee,Racist Skinhead,2016,Nashville,TN,36.1714,-86.7844
Confederate White Knights of the Ku Klux Klan,Auburn,Indiana,Ku Klux Klan,2016,Auburn,IN,41.3666,-85.056
Confederate White Knights of the Ku Klux Klan,Greenwood,Arkansas,Ku Klux Klan,2016,Greenwood,AR,35.2134,-94.2409
Confederate White Knights of the Ku Klux Klan,Madison,Indiana,Ku Klux Klan,2016,Madison,IN,38.7581,-85.3971
Confederate White Knights of the Ku Klux Klan,Morehead,Kentucky,Ku Klux Klan,2016,Morehead,KY,38.1906,-83.4466
Confederate White Knights of the Ku Klux Klan,Richmond,Virginia,Ku Klux Klan,2016,Richmond,VA,37.5295,-77.4756
Confederate White Knights of the Ku Klux Klan,Rosedale,Maryland,Ku Klux Klan,2016,Rosedale,MD,39.3266,-76.5084
Confederate White Knights of the Ku Klux Klan,Saint Martinville,Louisiana,Ku Klux Klan,2016,Saint Martinville,LA,30.1263,-91.8319
Confederate White Knights of the Ku Klux Klan,Sikeston,Missouri,Ku Klux Klan,2016,Sikeston,MO,36.8875,-89.587
Confederate White Knights of the Ku Klux Klan,Toms River,New Jersey,Ku Klux Klan,2016,Toms River,NJ,39.9931,-74.1856
Confederate White Knights of the Ku Klux Klan,Walterboro,South Carolina,Ku Klux Klan,2016,Walterboro,SC,32.9005,-80.6752
"Conservative Citizens Foundation, Inc.",Bridgeton,Missouri,White Nationalist,2016,Bridgeton,MO,38.7672,-90.4276
Conservative Republicans of Texas,Houston,Texas,Anti-LGBT,2016,Houston,TX,29.7868,-95.3905
Council of Conservative Citizens,Eufaula,Alabama,White Nationalist,2016,Eufaula,AL,31.9102,-85.1505
Council of Conservative Citizens,Franklin,Tennessee,White Nationalist,2016,Franklin,TN,35.9214,-86.8524
Council of Conservative Citizens,New York,New York,White Nationalist,2016,New York,NY,40.6943,-73.9249
Council of Conservative Citizens,Silver Spring,Maryland,White Nationalist,2016,Silver Spring,MD,39.0028,-77.0207
Counter Jihad Coalition,Santa Monica,California,Anti-Muslim,2016,Santa Monica,CA,34.0232,-118.4813
Counter-Currents Publishing,New York,New York,White Nationalist,2016,New York,NY,40.6943,-73.9249
Counter-Currents Publishing,San Francisco,California,White Nationalist,2016,San Francisco,CA,37.7562,-122.443
Counter-Currents Publishing,Seattle,Washington,White Nationalist,2016,Seattle,WA,47.6211,-122.3244
Covenant People's Ministry,Brooks,Georgia,Christian Identity,2016,Brooks,GA,33.2925,-84.4588
The Creativity Movement,Bloomington,Illinois,Neo-Nazi,2016,Bloomington,IL,40.4757,-88.9705
Crew 38,Chicago,Illinois,Racist Skinhead,2016,Chicago,IL,41.8373,-87.6861
Crew 38,Wichita,Kansas,Racist Skinhead,2016,Wichita,KS,37.6897,-97.3442
Cultural Studies Press,New York,New York,General Hate,2016,New York,NY,40.6943,-73.9249
Culture Wars/Fidelity Press,South Bend,Indiana,Radical Traditional Catholicism,2016,South Bend,IN,41.6771,-86.2692
D. James Kennedy Ministries (formerly Truth in Action),Fort Lauderdale,Florida,Anti-LGBT,2016,Fort Lauderdale,FL,26.1412,-80.1464
David Horowitz Freedom Center,Los Angeles,California,Anti-Muslim,2016,Los Angeles,CA,34.1139,-118.4068
Deir Yassin Remembered,Ann Arbor,Michigan,Holocaust Denial,2016,Ann Arbor,MI,42.2755,-83.7312
Deir Yassin Remembered,Geneva,New York,Holocaust Denial,2016,Geneva,NY,42.8644,-76.9827
Divine International Church of the Web,Morton,Illinois,Christian Identity,2016,Morton,IL,40.6137,-89.4668
Divine Truth Ministries,Bainbridge,Ohio,Christian Identity,2016,Bainbridge,OH,39.2265,-83.2695
Dixie Republic,Travelers Rest,South Carolina,Neo-Confederate,2016,Travelers Rest,SC,34.9684,-82.4417
East Coast Knights of the True Invisible Empire,Annapolis,Maryland,Ku Klux Klan,2016,Annapolis,MD,38.9706,-76.5047
East Coast Knights of the True Invisible Empire,Girardville,Pennsylvania,Ku Klux Klan,2016,Girardville,PA,40.7922,-76.283
East Coast Knights of the True Invisible Empire,Venus,Texas,Ku Klux Klan,2016,Venus,TX,32.4311,-97.1022
Euro Folk Radio,Chicago,Illinois,Christian Identity,2016,Chicago,IL,41.8373,-87.6861
European American Action Coalition,Pittston,Pennsylvania,White Nationalist,2016,Pittston,PA,41.3274,-75.7885
European American Front,Baldwyn,Mississippi,White Nationalist,2016,Baldwyn,MS,34.5071,-88.6416
European-American Evangelistic Crusades,Sheridan,California,General Hate,2016,Sheridan,CA,38.969,-121.356
Faith and Heritage,Killeen,Texas,White Nationalist,2016,Killeen,TX,31.0754,-97.7293
Faith Baptist Church (formerly Sons of Thundr),Greenville,Georgia,Anti-LGBT,2016,Greenville,GA,33.0322,-84.7163
